Location,Google maps location name,Google maps adress,Place id,rating,rating total,Type
Mimi Blue Restaurants,Mimi Blue Restaurants,"870 Massachusetts Ave, Indianapolis, IN 46202, United States",ChIJhxPckPFQa4gRFhdH6eazB34,4.5,1147,restaurant
LouVino Indianapolis Mass Ave Restaurant & Wine Bar,LouVino Indianapolis Mass Ave Restaurant & Wine Bar,"530 Massachusetts Ave Suite 140, Indianapolis, IN 46204, United States",ChIJLanLjzdRa4gRIYQWeraT8KA,4.5,308,restaurant
Yats,Yats,"325 4th St, Columbus, IN 47201, United States",ChIJ4-UhkNGha4gRVYEb9Seu0FQ,4.5,298,restaurant
Tinker Street Restaurant,Tinker Street Restaurant,"402 E 16th St, Indianapolis, IN 46202, United States",ChIJ910XseZQa4gRa_bRVuY8Gcg,4.7,762,bar
Modita,Modita,"850 Massachusetts Ave Suite 110, Indianapolis, IN 46204, United States",ChIJZ9PV8vFQa4gRNbSCp2YoZG4,4.4,225,restaurant
Central Canal,Central Canal,"Indianapolis, IN 46204, United States",ChIJM5c6vLNQa4gRDg3XGdo6qu4,4.8,197,tourist_attraction
The Children's Museum of Indianapolis,The Children's Museum of Indianapolis,"3000 N Meridian St, Indianapolis, IN 46208, United States",ChIJ85UdlT5Ra4gRanF4kshOULk,4.7,13122,tourist_attraction
Indiana War Memorial & Museum,Indiana War Memorial & Museum,"55 E Michigan St, Indianapolis, IN 46204, United States",ChIJqVPwhL9Qa4gRMAVCZi4dX6Q,4.7,2372,tourist_attraction
Dillard D. Park,Dillard D. Park,"1901 E Washington St, Indianapolis, IN 46201, United States",ChIJExz-031Ra4gRk4lLRMqrXYc,0,0,tourist_attraction
White River State Park,White River State Park,"801 W Washington St, Indianapolis, IN 46204, United States",ChIJZ4y_MrJQa4gR12PogzDop5s,4.7,4461,tourist_attraction
Indiana State Museum,Indiana State Museum,"650 W Washington St, Indianapolis, IN 46204, United States",ChIJNzJiEbFQa4gRkBVFg5gciGs,4.6,3337,museum
